problem,method,agent,outcome,duration_seconds
977,collaborative,1,correct,678
977,collaborative,2,correct,296
977,collaborative,3,correct,203
977,collaborative,4,correct,256
977,collaborative,5,correct,239
977,solo,1,correct,607
977,solo,2,abstain,2390
977,solo,3,correct,220
977,solo,4,correct,137
977,solo,5,correct,1789
978,collaborative,1,correct,51
978,collaborative,2,correct,76
978,collaborative,3,correct,73
978,collaborative,4,correct,79
978,collaborative,5,correct,77
978,solo,1,correct,49
978,solo,2,correct,59
978,solo,3,correct,52
978,solo,4,correct,53
978,solo,5,correct,74
979,collaborative,1,correct,108
979,collaborative,2,correct,123
979,collaborative,3,correct,229
979,collaborative,4,correct,133
979,collaborative,5,correct,86
979,solo,1,correct,1794
979,solo,2,correct,183
979,solo,3,correct,1479
979,solo,4,correct,174
979,solo,5,correct,278
980,collaborative,1,correct,119
980,collaborative,2,correct,77
980,collaborative,3,correct,92
980,collaborative,4,correct,90
980,collaborative,5,correct,83
980,solo,1,correct,81
980,solo,2,correct,99
980,solo,3,correct,79
980,solo,4,correct,70
980,solo,5,correct,85
981,collaborative,1,correct,114
981,collaborative,2,correct,99
981,collaborative,3,correct,71
981,collaborative,4,correct,85
981,collaborative,5,correct,106
981,solo,1,correct,1806
981,solo,2,correct,152
981,solo,3,correct,60
981,solo,4,correct,88
981,solo,5,wrong,205
982,collaborative,1,correct,166
982,collaborative,2,wrong,201
982,collaborative,3,correct,168
982,collaborative,4,correct,710
982,collaborative,5,correct,233
982,solo,1,correct,402
982,solo,2,correct,669
982,solo,3,correct,89
982,solo,4,correct,1647
982,solo,5,correct,105
984,collaborative,1,correct,274
984,collaborative,2,correct,353
984,collaborative,3,correct,306
984,collaborative,4,correct,300
984,collaborative,5,correct,336
984,solo,1,abstain,2387
984,solo,2,abstain,2386
984,solo,3,abstain,2386
984,solo,4,correct,561
984,solo,5,wrong,1046
985,collaborative,1,correct,126
985,collaborative,2,correct,245
985,collaborative,3,correct,139
985,collaborative,4,correct,108
985,collaborative,5,correct,454
985,solo,1,correct,123
985,solo,2,correct,164
985,solo,3,correct,391
985,solo,4,correct,133
985,solo,5,correct,1889
986,collaborative,1,abstain,2398
986,collaborative,2,abstain,2399
986,collaborative,3,abstain,2404
986,collaborative,4,abstain,2399
986,collaborative,5,wrong,2045
986,solo,1,abstain,2402
986,solo,2,abstain,2402
986,solo,3,wrong,2402
986,solo,4,abstain,2402
986,solo,5,abstain,2401
987,collaborative,1,correct,65
987,collaborative,2,correct,77
987,collaborative,3,correct,87
987,collaborative,4,correct,148
987,collaborative,5,correct,185
987,solo,1,correct,736
987,solo,2,correct,79
987,solo,3,correct,241
987,solo,4,correct,96
987,solo,5,correct,1811
988,collaborative,1,correct,62
988,collaborative,2,correct,44
988,collaborative,3,correct,49
988,collaborative,4,correct,57
988,collaborative,5,correct,54
988,solo,1,correct,50
988,solo,2,correct,86
988,solo,3,correct,45
988,solo,4,correct,55
988,solo,5,correct,51
989,collaborative,1,correct,1781
989,collaborative,2,correct,584
989,collaborative,3,correct,1352
989,collaborative,4,correct,1776
989,collaborative,5,correct,1781
989,solo,1,wrong,1793
989,solo,2,wrong,2251
989,solo,3,abstain,2397
989,solo,4,abstain,2397
989,solo,5,abstain,2402
990,collaborative,1,correct,408
990,collaborative,2,correct,220
990,collaborative,3,correct,594
990,collaborative,4,correct,215
990,collaborative,5,correct,231
990,solo,1,correct,257
990,solo,2,correct,292
990,solo,3,abstain,2393
990,solo,4,correct,1099
990,solo,5,correct,965
991,collaborative,1,correct,96
991,collaborative,2,correct,187
991,collaborative,3,correct,187
991,collaborative,4,correct,657
991,collaborative,5,correct,140
991,solo,1,correct,78
991,solo,2,correct,1790
991,solo,3,correct,340
991,solo,4,correct,201
991,solo,5,correct,493
992,collaborative,1,correct,123
992,collaborative,2,correct,70
992,collaborative,3,correct,106
992,collaborative,4,correct,92
992,collaborative,5,correct,124
992,solo,1,correct,68
992,solo,2,correct,72
992,solo,3,correct,67
992,solo,4,correct,76
992,solo,5,correct,116
993,collaborative,1,correct,819
993,collaborative,2,correct,174
993,collaborative,3,correct,209
993,collaborative,4,correct,231
993,collaborative,5,correct,204
993,solo,1,correct,1855
993,solo,2,wrong,2365
993,solo,3,abstain,2363
993,solo,4,correct,350
993,solo,5,correct,148
994,collaborative,1,correct,1169
994,collaborative,2,correct,854
994,collaborative,3,correct,1796
994,collaborative,4,correct,1669
994,collaborative,5,correct,985
994,solo,1,correct,923
994,solo,2,wrong,667
994,solo,3,wrong,749
994,solo,4,correct,1030
994,solo,5,correct,1306
995,collaborative,1,abstain,2403
995,collaborative,2,abstain,2403
995,collaborative,3,abstain,2403
995,collaborative,4,abstain,2402
995,collaborative,5,correct,1489
995,solo,1,abstain,2393
995,solo,2,abstain,2395
995,solo,3,abstain,2393
995,solo,4,abstain,2393
995,solo,5,abstain,2394
996,collaborative,1,correct,210
996,collaborative,2,correct,159
996,collaborative,3,correct,1797
996,collaborative,4,correct,768
996,collaborative,5,correct,141
996,solo,1,correct,151
996,solo,2,wrong,1881
996,solo,3,correct,282
996,solo,4,wrong,241
996,solo,5,wrong,325
997,collaborative,1,correct,1804
997,collaborative,2,correct,89
997,collaborative,3,correct,83
997,collaborative,4,correct,88
997,collaborative,5,correct,111
997,solo,1,correct,99
997,solo,2,correct,1793
997,solo,3,correct,97
997,solo,4,correct,84
997,solo,5,correct,114
998,collaborative,1,abstain,2394
998,collaborative,2,abstain,2396
998,collaborative,3,wrong,2398
998,collaborative,4,abstain,2396
998,collaborative,5,abstain,2397
998,solo,1,abstain,2370
998,solo,2,abstain,2368
998,solo,3,abstain,2370
998,solo,4,abstain,2370
998,solo,5,abstain,2368
999,collaborative,1,correct,240
999,collaborative,2,correct,253
999,collaborative,3,correct,1866
999,collaborative,4,correct,99
999,collaborative,5,correct,223
999,solo,1,correct,168
999,solo,2,correct,263
999,solo,3,correct,104
999,solo,4,correct,2037
999,solo,5,correct,404
1000,collaborative,1,correct,97
1000,collaborative,2,correct,272
1000,collaborative,3,correct,94
1000,collaborative,4,correct,115
1000,collaborative,5,correct,103
1000,solo,1,correct,1767
1000,solo,2,correct,103
1000,solo,3,correct,94
1000,solo,4,correct,101
1000,solo,5,correct,129
1001,collaborative,1,correct,191
1001,collaborative,2,correct,163
1001,collaborative,3,correct,244
1001,collaborative,4,correct,152
1001,collaborative,5,correct,150
1001,solo,1,correct,735
1001,solo,2,correct,267
1001,solo,3,correct,240
1001,solo,4,wrong,234
1001,solo,5,correct,379
1002,collaborative,1,correct,54
1002,collaborative,2,correct,61
1002,collaborative,3,correct,53
1002,collaborative,4,correct,56
1002,collaborative,5,correct,54
1002,solo,1,correct,55
1002,solo,2,correct,72
1002,solo,3,correct,56
1002,solo,4,correct,71
1002,solo,5,correct,52
1003,collaborative,1,correct,209
1003,collaborative,2,correct,225
1003,collaborative,3,correct,2400
1003,collaborative,4,correct,175
1003,collaborative,5,correct,1987
1003,solo,1,correct,608
1003,solo,2,correct,220
1003,solo,3,correct,212
1003,solo,4,correct,131
1003,solo,5,correct,1881
1004,collaborative,1,correct,203
1004,collaborative,2,correct,319
1004,collaborative,3,correct,288
1004,collaborative,4,correct,100
1004,collaborative,5,correct,185
1004,solo,1,correct,89
1004,solo,2,correct,87
1004,solo,3,abstain,2394
1004,solo,4,correct,69
1004,solo,5,correct,143
1005,collaborative,1,correct,43
1005,collaborative,2,correct,31
1005,collaborative,3,correct,41
1005,collaborative,4,correct,40
1005,collaborative,5,correct,33
1005,solo,1,correct,38
1005,solo,2,correct,44
1005,solo,3,correct,46
1005,solo,4,correct,34
1005,solo,5,correct,45
1006,collaborative,1,wrong,1871
1006,collaborative,2,wrong,1793
1006,collaborative,3,wrong,1816
1006,collaborative,4,wrong,646
1006,collaborative,5,wrong,1918
1006,solo,1,wrong,1809
1006,solo,2,wrong,1849
1006,solo,3,wrong,1796
1006,solo,4,wrong,1869
1006,solo,5,wrong,1793
1007,collaborative,1,correct,651
1007,collaborative,2,correct,1799
1007,collaborative,3,correct,1955
1007,collaborative,4,correct,1969
1007,collaborative,5,correct,567
1007,solo,1,abstain,2396
1007,solo,2,correct,507
1007,solo,3,correct,577
1007,solo,4,correct,276
1007,solo,5,correct,1557
